"","Name","type","2015 Dill Avidin Early [5]","2015 Dill Calreticulin Early [6]","2015 Dill Complement Early [7]","2015 Dill IgG Early [8]","2015 Dill LPS Early [9]","2015 Dill Mannan Early [10]","2015 Dill Phosphatidylserine Early [11]","2007 Rogers Latex Early [1]","2012 Goyette Latex Early [4]","2012 Campbell Latex Early [3]","2011 Duclos 100 nm Latex Beads J774 Early [2]","2015 Dill Avidin Late [5]","2015 Dill Calreticulin Late [6]","2015 Dill Complement Late [7]","2015 Dill IgG Late [8]","2015 Dill LPS Late [9]","2015 Dill Mannan Late [10]","2015 Dill Phosphatidylserine Late [11]","2007 Rogers IgG Late [1]","2012 Goyette Latex Late [4]","2012 Campbell Latex Late [3]","2011 Duclos 100 nm Latex Beads J774 Late [2]"
"1","gosr1","Qb",0.918310237065659,0.643847440432554,0.315205322568959,0.44636195302293,0.24507375651638,0.899678859836058,1,0,1,0,0,0.233715707461618,0.367051169668099,0.756340843800564,0.373041800144493,0.228330090524879,0.242667532618865,0.260857696544809,0,1,0,0
"2","sec22b","R",0.639265519746613,0.677346411401307,0.780678170330051,0.723344633881144,0.662590396304173,0.596710165032554,0.736442157418292,1,1,1,0,0.919691995934977,0.783484262760423,0.792225856518041,0.764712838131081,1,0.837007312798141,0.931587646285436,0.870058098640373,0.335,0.985271711528695,0
"3","snap23","Qbc",0.814040779712804,0.915814022480267,0.841236444351939,1,0.916509650137281,0.816182000453343,0.828187635487961,1,0.573254670599803,1,1,0.537784824286349,0.436758130280182,0.474499000208979,0.563538386627341,0.525160595508616,0.511427330818537,0.615426158999549,0.625946293486058,1,0.976778656126482,0
"4","snap29","Qbc",0.419330618966705,0.347987894470211,0.509932294859688,0.288609171431652,0.366534931276934,0.400411448455226,0.408624016477504,0.788712297600308,0.0190421234852856,1,0,0.444798126122683,0.73557082025794,1,0.959526623881921,0.762506075879104,0.405438821876729,0.472105504353673,1,1,0.935241670577194,0
"5","stx11","Qa",1,0.418047892643993,0.475253558154621,0.948330264821606,0.44676096248621,0.458031249163098,0,0,0,0,0,0,0,0,0.612999128552435,0.359133748000905,0,0,0,0,0,0
"6","stx12","Qa",0.94949274346641,0.850328908042172,0.881640402896038,0.884737572659413,1,0.867688678802652,0.854464279241771,0,0.649662415603901,1,1,0.876387595685023,0.949703887556142,0.96964167105046,0.942483132398579,0.972662572267015,0.848839030021369,0.852200116478952,0,1,0.979739507959479,0.374531835205993
"7","stx16","Qa",1,0,0,0,0,0,0,0,0.409276944065484,1,1,0,0,0.932810250808704,0,0,0,0,0,1,0.938080495356037,0
"8","stx17","Qa",0.23155887996461,0.209532580284817,0.183759959406821,0.179910034324164,0.179376972498444,0.19889316386208,0.228313276855294,0,0,1,0,0.212982432381685,0.296644194817793,1,0.349344703687938,0.28944866207993,0.211895974048539,0.165915993931866,0,0,0.926267281105991,0
"9","stx2","Qa",0.779133024770604,0.767864445908735,0.622785798948288,1,0.733274572049728,0.806098613443919,0.772460710475365,0,1,0.947080291970803,0,0.499360388332547,0.382647687464752,0.418922646538068,0.540386743082077,0.474150042544762,0.362218463235105,0.164494238378546,0,0,1,0
"10","stx3","Qa",0.884749364359544,0.828284786296481,0.866535875773385,0.862547688191966,0.892684236011466,0.943065601297897,0.824990336499988,0,0,1,0,0.878610927437135,0.924879791945095,0.849309092199657,1,0.981150871579409,0.860264787806199,0.860488655203589,0,0,0.973841211564938,0
"11","stx4","Qa",0.649416416085743,0.705655233525357,0.751498380485666,1,0.847161213908504,0.698185118635483,0.493809545670237,0,1,1,0,0.337768111891685,0.371589522002613,0.283151115642989,0.331468223838943,0.329369212812181,0.315957101394345,0.347487761448635,0,0,0.944915254237288,0
"12","stx5","Qa",0.74419199733722,0,0.480639853169678,0,0,0,0,0,0,0,0,1,0,0.613812392877519,0.912741793872313,0.305657819464727,0.414100127052691,0,0,0,0,0
"13","stx6","Qc",1,0.925681589088086,0.474072366912565,0.548568651620708,0.964928571973774,0.539079035146181,0.122290168516625,0,1,1,0,0.693214765946868,0.428973077317459,0.427416218023899,0.419410414918066,0.398820804342162,0.461057368556441,0.463420638371302,0,0.333333333333333,0.974806201550388,0
"14","stx7","Qa",0.688794102246264,0.651612206648479,0.635393886945058,0.57415286042566,0.648460393714463,0.64858927546451,0.671380671276978,0.500396607592867,0.22139633660738,1,1,0.827365600268477,0.889112756028644,0.84020712040308,0.849674222746912,1,0.920209001332852,0.860852004131038,1,1,0.976889744824266,0.399399399399399
"15","stx8","Qc",0.475640790420782,0.473876661823193,0.440958623741238,0.346395068927524,0.445637420401341,0.455464563664983,0.521433428034769,0,0.33,1,0,0.886837387753454,0.84225701651635,0.702061688400337,0.77601309038191,1,0.972481092586939,0.830901420401431,0,1,0.99609184171959,0
"16","stxbp5","R",0.928332855251013,0.801208334940073,0.91254051311476,0.823266040250327,0.676984474040855,0.748293023892803,0.651390099158384,0,0,0,0,0.542189776985679,0.645898412662559,0.814195879732439,1,0.58736614839533,0.606783570064444,0.666696128303022,0,0,0,0
"17","vamp3","R",0.674165537573402,0.684270075535042,0.528961952989962,0.419296755442827,0.563938126205516,0.482965560831293,0.697695755835065,0,0,1,1,0.871921909478331,0.705364518850152,0.662290253718675,0.76596139566227,0.861536151997111,1,0.956572303055981,0,0,0.970631424375918,0
"18","vamp4","R",0.77668554561903,0.713359390945012,0.473715063719249,1,0.564709769671997,0.424076620878823,0.477037324783761,0.632831460029252,0.406666666666667,0.993374349266446,1,0.668399497608759,0.805198381432884,0.422591354132567,0.605471969470612,0.784217302058102,0.392534684443739,0.560351768142648,1,1,1,0
"19","vamp7","R",0.65731540882955,0.74914285257137,0.712468680715433,0.480858216365762,0.698866502915268,0.695504337387393,0.680617704052521,1,0.496240601503759,0.990281329923274,0,0.906888103026324,0.887216663015804,0.83103987158225,0.868763143048906,0.984008036051572,1,0.899306591918228,0.634247960325976,1,1,0
"20","vamp8","R",0.530914035476729,0.534735411081602,0.465471657311489,0.370265630707759,0.447303905399385,0.497682481832539,0.573319382561706,0.729368468264468,0.126302494474266,1,1,0.830642109042215,0.800104586110358,0.785630604073736,0.815666187668764,0.847375027674153,1,0.848023437412794,1,1,0.99365234375,0
"21","vti1a","Qb",0.881099600780172,0.783926846485698,0.808499684164135,0.661162703763122,0.746895704540645,0.713589720225478,1,0,1,0.946822893195133,0,0.644635465624173,0.592144318368278,0.687300552774145,0.641751773460079,0.643445025598787,0.642413683017473,0.636636061375639,0,0.553333333333333,1,0
"22","vti1b","Qb",0.488779854378637,0.508943016247392,0.456345176615998,0.371517670352603,0.421833981970967,0.509278898341439,0.578120243259895,0.801435730840201,0.665,1,0,0.881865371894737,0.820856784714779,0.801749341371528,0.804192337129454,0.886773145900478,1,0.915237996290684,1,1,0.991779497098646,0
"23","ykt6","R",0.466615203290236,1,0.649872599718516,0.545908629371563,0.556767003927474,0.709583452912787,0.98460115875091,0,0,0,0,0.53504659794945,0.649161714312473,0.708874349289343,0.967931282192052,0.826913359859345,0.388132173200431,0.762047051470168,0,0,0,0
