Gene names,2012 Campbell Latex Late
1700071K01Rik,-12.2
4930544G11Rik,6.4
5330429B09Rik,-1.7
Aacs,-5.7
Aars,-12.3
Abce1,-12.6
Abcf1,-20
Abcf2,-20.5
Abhd11,-13.4
Abhd12,-4.1
Acaa1a,-3.2
Acaa1b,-5.7
Acaca,4.9
Acadl,-41.1
Acadm,-14.5
Acat1,-10.7
Acat2,-1.6
Acly,-14.2
Aco2,-9.1
Acot2,-9
Acp2,28.1
Acsl1,-4.5
Acsl3,-15.6
Acsl4,-13.5
Acsl5,-4.8
Acta1,-1.4
Actb,-1.3
Actbl2,-1.1
Actg1,-1.4
Actn1,-2.4
Actn2,-1.3
Actn3,-8.4
Actn4,-2.9
Actr1a,1.3
Actr2,1.1
Actr3,1.1
Actr3b,1.3
Acy1,7.2
Adam10,-1.8
Adam15,11.1
Adam17,-3.7
Adam8,3.9
Adpgk,-1.5
Adsl,1.2
Adss,2.5
Afg3l1,-21.4
Afg3l2,-6.3
Agfg1,1
Agps,-14.9
Ahcy,-20.4
Ahnak,3
Ahsa1,-2.2
Ahsg,15.3
Aifm1,-24.5
Aimp1,-4.5
Aimp2,-11.3
Aip,-17.5
Ak2,-25.4
Akr1a1,-10.4
Akr1b1,-1.2
Alb,19.9
Alcam,1.7
Aldh18a1,-43.1
Aldh1a7,3.2
Aldh2,-8.5
Aldh3b1,4.5
Aldh9a1,-7.6
Aldoa,1.2
Aldoart2,1.5
Aldoc,1.7
Alyref,-2
Ampd2,-11.6
Ankfy1,9.5
Ankrd46,20.1
Anks4b,-2.3
Anp32a,-4.9
Anp32b,-7.2
Anp32e,-6.6
Anpep,3.2
Anxa1,1.5
Anxa2,1.1
Anxa3,9.7
Anxa5,1.5
Ap1g1,-1.2
Ap1m1,-5.2
Ap2a1,1.8
Ap2a2,2
Ap2b1,1.1
Apbb1ip,-2.2
Apex1,-18.4
Aplp2,7.7
Apmap,-14.5
App,13.3
Arcn1,-26.7
Arf2,1.2
Arf4,4.2
Arf6,-3.4
Arhgap25,22.7
Arhgdia,1.4
Arhgdib,1.3
Arhgef1,-9.8
Arhgef2,-2.4
Arl15,3.5
Arl8a,9.5
Arl8b,5.5
Armc10,-8.4
Arpc2,-4.1
Arpc3,-3.2
Arpc4,-1.7
Arpc5,-1.1
Arpc5l,-3.7
Arsb,4.1
Asah1,6.7
Asap2,-4.5
Asns,-16.9
Asph,-7.5
Atad1,-17.7
Atad3,-15.6
Atic,-1.9
Atl2,-6
Atl3,-3.7
Atp1a1,1.5
Atp1a2,-1.2
Atp1a3,3.2
Atp1a4,-4.3
Atp1b3,-1.1
Atp2a1,-9.7
Atp2a2,-5.7
Atp2b1,3.4
Atp2b3,-1.5
Atp5a1,-6.9
Atp5b,-8.1
Atp5c1,-13
Atp5d,-13.1
Atp5f1,-13.1
Atp5h,-20
Atp5i,-2.1
Atp5l,-4.3
Atp5o,-11.7
Atp6ap1,18
Atp6ap2,-1.8
Atp6v0c,3
Atp6v0d1,4.8
Atp6v1a,3.4
Atp6v1b2,5.4
Atp6v1c1,4.3
Atp6v1c2,3.4
Atp6v1d,4.6
Atp6v1e1,5.1
Atp6v1e2,2.7
Atp6v1f,17.3
Atp6v1g1,9.9
Atp6v1h,6.7
Atpif1,-12.4
Aup1,-6.6
B2m,17
Bag2,-1.2
Bax,-5.4
Bicd1,-2.5
Blmh,3.2
Blvra,1.8
Bri3bp,-6.8
Bsg,1.6
Btf3,-2.1
Bzw1,-5
Bzw2,-1.7
C1qbp,-21.9
C2cd2l,-4.9
C3,3.1
Cacybp,-1.4
Cadm1,1.1
Calm1,-5.5
Calr,-1.6
Calu,-2.8
Canx,-1.4
Cap1,-2.7
Cap2,-21.4
Capg,1.1
Caprin1,-2.9
Capza1,1
Capza2,-1.1
Capzb,-1.1
Cars,-12.3
Cat,-7
Ccdc124,-8.2
Ccdc191,-8.6
Ccdc22,3.5
Ccnb1,-7.5
Ccny,3.2
Ccpg1,-20.3
Cct2,-2.4
Cct3,-3.2
Cct4,-3.7
Cct5,-2.4
Cct6a,-3.9
Cct6b,-10.3
Cct7,-5.9
Cct8,-4.7
Cd14,2.9
Cd180,4.2
Cd2ap,3.2
Cd44,2.1
Cd5,1.7
Cd68,4.8
Cd72,2.8
Cd74,10.5
Cd86,2
Cdc37,1.1
Cdc42,1.2
Cdc42se1,8.1
Cdc5l,-10.4
Cdca3,5.2
Cdk2,-43.4
Cdo1,-2.6
Cenpe,3.2
Cenpf,7.5
Chmp1b1,-1.4
Chmp1b2,-17.6
Chmp2a,17.7
Chmp3,4.7
Chmp4b,5.8
Chmp5,12.1
Chmp6,1.3
Cisd2,-2.3
Ckap4,-4
Ckap5,-11.1
Ckb,2
Clec10a,6.3
Clic1,1.1
Clic4,-1.9
Clmn,7.9
Clpb,-24.8
Clpp,-7.3
Clpx,-10.7
Clta,-1.8
Cltb,-5.3
Cmpk1,-4.7
Cnbp,-3.5
Cndp2,-1.4
Cnot1,-5
Cnpy3,-11.2
Col17a1,7.2
Colec12,4.3
Colgalt1,-8.1
Copa,-8.1
Copb1,-33.1
Cope,-12.4
Copg2,-13.8
Cops2,2.3
Cops3,-1.2
Cops4,2.8
Copz1,-12.8
Coro1a,-11.4
Coro1c,-6.8
Cox4i1,-17.4
Cox5a,-8.2
Cox6c,-1.1
Cpd,9.6
Cpn10-rs1,-7.8
Cpne1,-4.9
Creg1,3.1
Cs,-5.4
Csde1,-20
Cse1l,-8
Csf1r,2.9
Csk,-6.2
Csnk2a1,-2
Cst3,5.7
Ctdsp1,11.9
Ctnnd1,-15.8
Ctps1,-3.3
Ctsa,4.6
Ctsb,3.8
Ctsd,10.6
Ctsl,4.4
Ctss,2.8
Ctsz,3.4
Cyb5a,-2.7
Cyb5b,-2.2
Cyb5r1,-5.1
Cyb5r3,-38.7
Cybb,-1.9
Cyc1,-15
Cycs,-1.6
Cyfip1,-8.3
Cyfip2,-8.5
Cyp51a1,-10.8
D17H6S56E-5,7.9
Dab2,-3.7
Dad1,-1.5
Dag1,-4.2
Dapp1,8.2
Dars,-24
Dbnl,1
Dcakd,-8.1
Dctn2,3
Ddost,-3.8
Ddx1,-23.5
Ddx10,16.7
Ddx17,-1.5
Ddx21,-5.5
Ddx3x,-1.7
Ddx3y,-1.7
Ddx4,-1.8
Ddx42,16.8
Ddx5,1.3
Ddx6,-18.5
Decr1,-8.2
Degs1,-13.6
Des,-3.7
Dhrs13os,11.1
Dhrs7b,-7.1
Dhx15,-5.9
Dhx29,-1.9
Dhx36,-17.1
Dhx9,-31.8
Dlat,-46.2
Dld,-16.8
Dlst,-34.1
Dnah10,1.4
Dnah5,5.1
Dnah9,-2
Dnaja1,1.6
Dnaja2,1.9
Dnaja3,-8.1
Dnajb1,1.4
Dnajb11,-1.7
Dnajc11,-5.7
Dnajc13,24.1
Dnajc2,-28.9
Dnajc3,6.2
Dnajc7,-1.6
Dnm2,1.2
Dnpep,-4
Dock10,-14.4
Dock2,-11.7
Dock8,-1.5
Dpm1,-3
Dpp7,2
Dpysl2,-2.4
Drg1,-3.7
Dync1h1,-7.8
Dync1i2,-3.2
Dync1li1,-2.3
Ece1,15.8
Ech1,-5.3
Edc4,-12.9
Edf1,-21.2
Eea1,12.9
Eef1a1,-4.8
Eef1a2,-4.9
Eef1b,-5.9
Eef1d,-11.2
Eef1g,-4
Eef2,-7.1
Efhd2,-1.3
Efr3a,3.2
Eftud2,-8.7
Ehd1,1.4
Ehd3,1.2
Ehd4,1.1
Eif2a,-15.3
Eif2b4,-14.9
Eif2b5,-7.9
Eif2s1,-16.1
Eif2s2,-32.4
Eif2s3x,-17.1
Eif2s3y,-15.2
Eif3a,-25.4
Eif3b,-24.2
Eif3c,-37.2
Eif3d,-5
Eif3e,-5
Eif3f,-9.7
Eif3g,-10.1
Eif3h,-10
Eif3i,-20
Eif3k,-12.9
Eif3l,-10
Eif3m,-32.8
Eif4a1,-21.3
Eif4a2,-18.4
Eif4b,-7.4
Eif4e,-3.6
Eif4g1,-23.9
Eif4g2,-1.5
Eif4h,5.6
Eif5,-12.4
Eif5a,-1.6
Eif5a2,-3.4
Eif5b,-5.7
Eif6,-9.8
Elavl1,-17.3
Elmo1,-15.4
Elmo2,-24.9
Emd,-6.9
Emilin2,11.6
Eno1,1.5
Eno2,-2
Enpp4,4.7
Epb41,-3.2
Epb41l2,-2
Epn1,2
Eprs,-6.9
Eps8,-10.6
Erap1,-7
Erbb2ip,1.6
Erlin2,-14.1
Ero1a,-4.1
Ero1b,-15.1
Erp29,-4.2
Erp44,-1.6
Esyt1,2
Etf1,-7.9
Etfa,-16.4
Etfb,-8.9
Evi2a,5.4
Evi2b,1.7
Ewsr1,-5.1
Exoc4,-6.5
Ezr,-2.2
F630007L15Rik,2
Fabp5,1.9
Fads2,-11.5
Faf2,-8.4
FAM120A,-12.6
Fam129a,8.9
Fam129b,-10.5
Fam134b,-16.7
Fam21,4.6
Fam49b,1.5
Fam91a1,2.4
Far1,-15.1
Farsa,-27.9
Farsb,-26.4
Fasn,-5.2
Fau,-27.1
Fcer1g,5.8
Fcgr1,11.1
Fcgr2,1.9
Fcgr3,3.5
Fcho2,1.2
Fdps,-1.2
Fen1,-28
Fermt3,-6.3
Fh,-4
Fkbp1a,7.7
Fkbp2,-3.3
Fkbp3,-46.9
Fkbp4,-2
Fkbp8,-12.6
Flna,-1.2
Flnb,1.2
Flnc,-12
Flot2,5.5
Fmnl2,4
Fmnl3,1.7
Frmpd1,-1
Fth1,4
Fubp1,2.1
Fubp3,-5.9
Fus,-12
Fv4,2.1
Fxr1,-21.8
Fxr2,-19.3
Fxyd5,1.9
Fyco1,10.4
Fyn,1.2
G3bp1,-7.3
G3bp2,-31.5
G6pdx,-2.2
Gaa,6.7
Gabarapl2,13.7
gag,-24.2
Galnt7,-17.2
Ganab,-3.9
Gapdh,10.4
Gapdhs,-2.8
Gapvd1,1.8
Gars,-2.7
Gart,-7.7
Gas7,-6.5
Gatm,-19.4
Gba,4.2
Gcat,-19.7
Gcc2,4.6
Gdi2,2.3
Gemin4,1.9
Gigyf2,-7.7
Gla,4.3
Glb1,2.6
Glg1,8.4
Glod4,-2.2
Glrx3,33.7
Glrx5,-6.3
Glud1,-8.2
Gm10653,-11.2
Gm1966,1.1
Gm6793,-4.1
Gmps,-8.4
Gna13,1.8
Gna14,1.5
Gnai3,1.8
Gnao1,1.7
Gnaq,2.9
Gnas,2.6
Gnb1,4.4
Gnb2,2.8
Gnb3,5.6
Gns,3.9
Golga7,11.7
Golgb1,2
Got1,1.5
Got2,-6.4
Gpd2,-15.5
Gpi,-1.4
Gpnmb,9.9
Gpr84,-1
Gps1,-17.3
Grb2,5.1
Grn,1.7
Grpel1,-13.1
Gsn,5
Gspt1,-5.3
Gusb,13.8
H-2D,5.5
H2-D1,3.7
H2-K1,2.6
H2afz,-9.4
Hadh,-11.3
Hadha,-31.8
Hadhb,-23.1
Hars,-7.3
Hat1,-3.1
Hax1,-4.7
Hbb-b2,53.2
Hck,2.9
Hcls1,-2.6
Hdlbp,-11.2
Hexa,3
Hexb,4.7
Hgs,9.3
Hibadh,-7.3
Hint1,-1.5
Hint2,-4.3
Hip1,1.4
Hist1h1a,-2.2
Hist1h1d,-1.8
Hist1h1e,1.3
Hist1h1t,1.3
Hist1h2bk,-9.8
Hist1h2bm,-16.1
Hist1h3b,1
Hist1h3c,1
Hist1h3d,1
Hist1h3e,1
Hist1h3f,1
Hist2h3b,1
Hist2h3c1,1
Hist2h3c2,1
Hist3h2a,-1.9
Hist3h2ba,-10.5
Hk1,-18.9
Hk2,-19.4
Hk3,-8.1
Hmgb2,-1.8
Hmgcl,-16.2
Hmgcs1,-13.8
Hmox2,-3.8
Hn1,-4
Hnrnpa2b1,-42.3
Hnrnpa3,-19.6
Hnrnpab,-5.8
Hnrnpd,-6.6
Hnrnpf,1.3
Hnrnph1,1.8
Hnrnph2,1.4
Hnrnpk,-5.1
Hnrnpl,-12.2
Hnrnpm,-15.3
Hnrnpr,-17.1
Hnrnpu,-29.4
Hras,2
Hsd17b10,-23.9
Hsd17b12,-7.2
Hsd17b4,-14.6
Hsp90aa1,-1.7
Hsp90ab1,-1.6
Hsp90b1,-3
Hspa1b,-2.7
Hspa4,-5
Hspa5,-1.9
Hspa8,1.3
Hspa9,-11.3
Hspd1,-13.5
Hspe1,-3.9
Hsph1,-29.4
Huwe1,-24.5
Hyou1,-2.1
Iap,-24.5
Iars,-16.2
Iars2,-19.6
Icam1,1.3
Ict1,-40.2
Ide,1.2
Idh1,5.1
Idh2,-8.5
Idh3a,-22.8
Idh3b,-24.9
Idi1,-1.3
Ifnar2,-4
Igf2bp2,-23.2
Igf2bp3,-11.8
Igsf8,1.3
Il2rg,3.2
Il6st,5.6
Ilf2,-3.9
Impdh2,-1.7
Inppl1,-1.7
Ipo5,-4.8
Ipo7,-4.9
Ipo9,-1.1
Iqgap1,-1.9
Iqgap2,-1.4
Ist1,6.2
Isyna1,-1.2
Itfg1,6.9
Itga4,1.6
Itga5,4.1
Itgam,3.5
Itgb1,1.8
Itgb2,2.7
Itgb5,7.9
Itih2,27.6
Itih3,-1.2
Itm2b,15.2
Itm2c,6.9
Itsn2,-2.2
Kars,-8
Katnal2,-3.7
Kcnab2,-9.1
Kct2,13.4
Khdrbs1,-2.3
Kiaa0196,-4.6
Kiaa1024,-3
Kif23,-8
Kif5b,-10.5
Kit,3.6
Kpna2,3.7
Kpnb1,-2.5
Kras,3.7
Krt1,1.8
Krt10,-1.6
Krt2,1.5
Krt42,6.9
Krt6a,1.4
Krt77,1.2
Krt78,1.7
Krt8,5.6
Ktn1,-5.2
Lamp1,6.5
Lap3,-1.6
Laptm4a,11.4
Laptm5,3.2
Larp1,-6.3
Larp4,-13.9
Lars,-14.5
Lat2,-24.6
Lcp1,-1.6
Ldha,-1.6
Ldlr,7.9
Ldlrap1,-15.8
Letm1,-23.6
Lgals1,2.2
Lgals3,-1.2
Lgals3bp,3.7
Lgmn,5.8
Lilrb4,3.1
Lima1,-17
Lipa,10.4
Lman1,-2.1
Lmbrd1,7.3
Lmna,-45.8
Lmnb1,8.9
Lmod3,-1.6
Lnpep,9.7
Lonp1,-44.8
Lpcat1,2.3
Lpl,9.6
Lpxn,-22.7
Lrp1,6.8
Lrpap1,-8.7
Lrpprc,-19.6
Lrrc25,2.4
Lrrc47,-16.7
Lrrc59,-4.9
Lsg1,-8.3
Lsp1,-34
Lss,-7.8
Ly86,8.9
Lyn,1.6
Lyz2,5
M6pr,4.1
Man2a1,-4.7
Man2b1,28.6
Manf,-1.8
Map1lc3a,8.7
Map1lc3b,14.7
Map2k1,-9
Map4,-6.6
Map6,4.4
Mapre1,1.3
Mars,-28.4
Mavs,-9.7
mCG_129835,3.2
Mcm2,-7.4
Mcm3,-16
Mcm5,-14.5
Mcm6,-12.9
Mcm7,-9.7
