Gene names,2015 Dill IgG Late
Septin-2,0.881536665
Septin-7,0.871499986
Septin-8,0.890040002
Septin-9,0.79250666
Septin-11,0.690183352
15 kDa selenoprotein,0
0610031J06Rik,1.190333353
1700112E06Rik,0.929846653
2310022A10Rik,0.710983339
2410018M08Rik;Chchd2,0
2810422J05Rik;Uba52;Ubc;Ubb,0.359949969
4632428N05Rik,0.561346676
4732456N10Rik,5.711966618
5031439G07Rik,1.00610663
9030624J02Rik,0.59222332
Aak1,1.124166668
Abca3,1.112599953
Abcb11,0.527290007
Abcb1b,0.629426693
Abcb6,1.105200027
Abcc1,0.541003326
Abcc3,0
Abcd1,0.913666673
Abcd3,0.854539997
Abcd4,1.201366666
Abcf2,0.346766671
Abhd12,1.006826642
Abi1,1.223166653
Abr,0.728623342
Acaa1a;Acaa1b,1.070903298
Acaa2,1.120153315
Acadl,1.004106703
Acadm,0.953573338
Acads,0.768813349
Acadvl,0.813666653
Acap2,0.797090027
Acat1,1.06042666
Acbd3,0
Aco2,1.0025133
Acot13,1.208166686
Acox3,1.040039998
Acp2,1.208400036
Acp5,0.259256668
Acsl1,0.559810003
Acsl4,1.015446705
Acsl5,1.015883312
Actc1;Acta1;Acta2;Actg2,0.935963338
Actn1,0.372066653
Actn4,0.960366664
Actr1a;Actr1b,0.267250009
Actr2,0.921353333
Actr3,0.87166003
Adam10,0.822343304
Adam17,0.968879994
Adam8,0.632956618
Adam9,0.724266684
Adcy7,0
Aga,0.393013394
Agfg1,1.624800168
Agfg2,1.511840091
Agps,0.912623329
Agtrap,0.652686674
Ahnak,1.017216656
Ahnak2,1.091303301
Ahnak2F7CVJ5,0.976916651
Ahnak2E9PYB0,1.209913338
Ahsa1,0.617023327
AI607873,0.992866679
Aif1,0
Aifm1,1.03966999
Aifm2,1.026786659
Akap10,1.384100037
Akr1a1,0
Akr1b1;Akr1b3,1.027130029
Alcam,0.570109998
Aldh2,0.964563345
Aldh3a2,0.86126001
Aldh3b1,0.723939992
Aldh9a1,0.881149998
Aldoa;Aldoart1,1.072633309
Alg2,0.625059999
Alg5,0.378233302
Alox5,0.656363333
Alox5ap,0.412229986
Alyref;Alyref2;Refbp2,0.349166671
Ankfy1,1.020163368
Ankh,0.924063418
Anln,2.681600193
Ano6,0
Anp32b,0.293039998
Anpep,0.502453288
Antxr2,0.637273337
Anxa1,0.945736689
Anxa11,0.507443361
Anxa2,1.032070021
Anxa3,0.637213317
Anxa4,0.774196675
Anxa5,0.943583391
Anxa6,1.631830201
Anxa6P14824,0.853976691
Anxa7,0.840273339
Aoah,1.258843358
Ap1b1,1.106433338
Ap1g1,1.009613315
Ap1g2,0.452853334
Ap1m1,1.125726666
Ap1s1,1.39750002
Ap1s2,1.550389816
Ap2a1,0.80517335
Ap2a2,0.983283333
Ap2b1,0.930916655
Ap2m1,0.757966666
Ap2s1,0.944960027
Ap3b1,1.281500027
Ap3d1,0.93578666
Ap3m1,1.194066675
Ap3s1,1.246206652
Ap3s2,1.161566678
Aph1a,0.640013331
Apmap,1.075149998
Apoa1bp,0
Apob,0.822226668
Apobr,1.016850018
Apoe,0.671983336
App,0.600550039
Apr3;0610007C21Rik,0.971300003
Araf,1.327499986
Arap1,0.833743361
Arf3;Arf1,1.503999973
Arf5,0.242733342
Arf6,1.98886667
Arfgap1,0.901633331
Arfgap2,1.871499814
Arfgap3,1.016273336
Arfip1,1.081166467
Arfrp1,1.189033352
Arhgap1,0.79118669
Arhgap17,1.110133343
Arhgap22,0.389266635
Arhgap25,1.222866669
Arhgap30,0.990833325
Arhgap4,1.138386681
Arhgap9,0.951699817
Arhgdia,0.793653336
Arhgdib,1.00235001
Arhgef1,1.415333295
Arhgef10l,0.920213351
Arhgef2,1.058113338
Arhgef7,1.077389988
Arl1,0.969596644
Arl4c,1.393099981
Arl6ip5,0.998923327
Arl8a,1.250099987
Arl8b,1.764900139
Armc10,0
Arpc1b,0.669823317
Arpc2,0.852543336
Arpc3,1.608966637
Arpc4,0.874589988
Arpc5,0.823613342
Arpp19,2.727900497
Arrb2,0.694816644
Arsa,0.863993346
Arsb,0.978579999
Arsk,0.760476655
Asah1,1.410433346
Asah2,0.948493316
Asph,0.930339989
Ass1,0.24947333
Atad1,0.258926674
Atl3,1.083216641
Atp11a,1.157866663
Atp11c,0.743246689
Atp13a2,1.220400015
Atp1a1,0.585209964
Atp1a3,0.618549983
Atp1b3,0.616433336
Atp2a2,1.003806658
Atp2a3,0.336899997
Atp2b1,0.643936672
Atp2b3,1.053643339
Atp5a1,1.095100007
Atp5b,1.323566618
Atp5c1,1.026023323
Atp5d,1.043836703
Atp5f1,1.076799974
Atp5h;Gm10250,0.944426665
Atp5i;Atp5k,0.428599983
Atp5j,1.136133353
Atp5j2,0.952460032
Atp5l;Atp5l-ps1,0.943379988
Atp5o,1.005879995
Atp6ap1,0.805326692
Atp6ap2,1.650566506
Atp6v0a1,1.000329992
Atp6v0c,1.049280019
Atp6v0d1,1.113833328
Atp6v0d2,1.310699994
Atp6v1a,1.261100011
Atp6v1b2,1.194800021
Atp6v1c1,1.037666677
Atp6v1d,1.137600014
Atp6v1e1,1.326066631
Atp6v1f,1.038256673
Atp6v1g1,1.305566635
Atp6v1h,1.102566686
Atp8a1,1.212166626
Atp9b,0.780810002
Atpif1,1.224873332
Atrn,0.623489997
Atxn2l,0.984466632
Aup1,0.388899989
B2m,1.011000011
B4galnt1,1.050396643
B4galt1,1.080216675
Bag3,1.571233334
Bak1,0.32359
Banf1,1.059366645
Basp1,1.42676667
Bax,0.742663337
BC017647,0.162163327
Bcap31,0.927809983
Bcat2,0.453633346
Bcl7b,0.339600006
Bclaf1,0.284273318
Becn1,0.826149993
Bin1,0.24121334
Bin2,1.613899989
Birc6,0.547500011
Blmh,0.643013324
Blnk,1.282166675
Bloc1s1,1.484666708
Blvrb,0.628836648
Bmp2k,0.723333352
Bola1,1.456966483
Bphl,1.439133337
Bri3,0.748786693
Bst1,0.16377664
Bst2,0.924693346
Btd,0.232756667
Btf3,1.359233351
C1qa,0
C1qb,1.16863665
C1qbp,1.06808332
C1qc,0.859833325
C3,0.463766655
C3ar1,0
C5ar1,0.749566691
Cab39,0.692063319
Cacybp,0.494146601
Cadm1,0.462549939
Calm1;Calml3,0.332886707
Calr,0.864950015
Calu,0.663450039
Camk2d,0.62963668
Canx,0.901963341
Cap1,0.929789984
Capg,1.36039998
Capn1,1.260766682
Capn2,1.385666681
Capn5,0.765200012
Capns1,1.424456684
Caprin1,1.20386005
Capza1,0.889230028
Capza2,0.923286656
Capzb,1.012339986
Cast,1.283400024
Cat,0.807406643
Cbl,1.488533325
Cbr2,1.207893328
Cbx3,0.953483305
Cc2d1b,1.507499897
Ccdc115,1.298866654
Ccdc12,2.168910199
Ccdc22,0.933003327
Ccdc50,0.838133313
Ccdc53,0.172230004
Ccdc75,1.173276683
Ccdc88b,0
Ccdc93,0.862826661
Cct2,0.898796675
Cct3,0.966610025
Cct4,1.271183357
Cct5,0.977419971
Cct6a,0.520459988
Cct7,1.132099964
Cct8,0.59152332
Ccz1,1.081503309
Cd14,0.639936662
Cd151,0.32135004
Cd180,1.323533377
Cd1d1;Cd1d2,1.522699995
Cd200r1,0.376649999
Cd2ap,0.461036656
Cd300a,0.704766671
Cd300lh;OTTMUSG00000003606,0.627923305
Cd36,0.73967668
Cd44,0.685049998
Cd47,0.538950018
Cd48,0.423500054
Cd5l,0.83374
Cd63,0.73848998
Cd68,0.905283316
Cd72,0.65518665
Cd74,1.062190013
Cd81,0.440063394
Cd82,0.450636665
Cd84,0.540420023
Cd9,2.502803079
Cd93,0.716436664
Cdc42,1.223266615
Cdc42bpb,0
Cdc42ep4,0.981810013
Cdca3,1.377349874
Cdipt,1.124130011
Cdk1,1.200133296
Cdk14,0.523859998
Cdk18,1.168333318
Cdk2;Cdk3,1.451200006
Cdk5,1.93073316
Cdkn1b,0
Cds2,0.739783325
Cenpe,0
Cep41;Tsga14,1.073933291
Cep55,1.201956796
Cers2;Lass2,1.203293316
Cfl1,1.19196665
Cfp,0.219743333
Chchd3,1.002203309
Chd4,0
Chd6,0.538666705
Chi3l3,0.755793344
Chi3l4,0.690776654
Chmp1a,1.12027333
Chmp2a,1.67504671
Chmp2b,1.508533338
Chmp4b,1.592233364
Chmp5,1.628533307
Chmp6,1.802333118
Cisd1,0.268883326
Cisd2,1.089909997
Ckap4,1.028756633
Ckap5,1.921599826
Ckb,1.000876642
Clcn5,0.702066667
Clcn6,0.264546677
Clcn7,1.07081331
Clec10a;Mgl1;Mgl2,0.750466684
Clec12a,0.716566649
Clec4e,0
Clic1,0.972629975
Clint1,1.709600191
Cln3,1.342899948
Cln5,1.496733286
Clptm1,0.627603331
Clrn2,0.398366655
Clta,1.102116665
Cltc,0.982976689
Cmtm6,0
Cndp2,1.007950008
Cnn2,1.759566758
Cnot4,0.4936
Cnp,1.124426677
Cnpy2,0.259406673
Cnpy3,0.871386667
Cnpy4,0.39202663
Col4a4,0.163153348
Col6a3,0.282753326
Colec12,0.322016677
Commd1,0.967420018
Commd10,0.743400006
Commd2,0.868723326
Commd3,0.863443334
Commd4,0.765319989
Commd5,0.793339999
Commd6,0.891703326
Commd7,0.729549993
Commd8,1.53663336
Commd9,0.949743356
Comt,1.668599797
Copb2,0.254253334
Coro1a,0.85838665
Coro1c,0.802859993
Coro2a,0.983333312
Cotl1,1.048056635
Cox4i1,0.937503323
Cox4nb,0.593599997
Cox5a,0.927786691
Cox5b,1.082383296
Cox6a1,1.004133309
Cox6b1,1.332100021
Cox6c,0.807276673
Cox7a2,0.92276328
Cox7c,0.978746673
Cpd,0.428963332
Cpne1,0.564190011
Cpne2,1.897366843
Cpne3,0.397753384
Cpq,0.929339984
Cpt1a,0.723573333
Cr1l,0.610669975
Creg1,0.973873323
Crip1,1.684666645
Cs,0.994133332
Csf1,0.495336684
Csf1r,0.593493334
Csf2ra,0
Csk,0
Csnk1a1,1.124833345
Csnk1g3,0.33920002
Csnk2b,0.54807334
Csrp1,1.96200023
Cst3,0.628419999
Cst7,0.252593339
Cstb,1.27152331
Ctbs,0.896166671
Ctdsp1,1.08894997
Ctnnd1,0.91849998
Ctsa,0.963230011
Ctsb,1.112566668
Ctsc,0.937673317
Ctsd,1.089033342
Ctsf,1.308799999
Ctsh,1.115393341
Ctsl1,1.042186629
Ctso,0
Ctss,0.807879972
Ctsz,0.792020006
Cttnbp2nl,1.172933327
Cuedc2,1.217833357
Cux1,0
Cwc15,1.798399992
Cxcl2,0
Cyb5a;Cyb5,1.006133317
Cyb5b,0.728860009
Cyb5r3,0.895243325
Cyba,0.957943331
Cybb,0.963623324
Cyc1,0
Cyfip1,0.912816667
Cyp20a1,1.060566643
D10Jhu81e,0.974540008
D10Wsu52e,1.038666669
D17Wsu104e,0.724296644
Dab2,1.157550045
Dad1,1.027873298
Daglb,1.134323316
Dars,0
Dbi,0.677713315
Dbr1,1.112499978
Ddb1,0
Ddost,1.041713376
Ddrgk1,0.260723332
Ddx1,0.966476673
Ddx39b;Ddx39a,1.100899985
Ddx3x;D1Pas1,1.176429959
Ddx3y,0.609260004
Ddx42,1.114143321
Ddx46,0.885550028
Ddx5,0.968110022
Decr1,0.42033334
Degs1,0.800350003
Dek,1.05993335
Dennd1a,1.304166682
Dhrs1,0.994463344
Dhrs4,0.723099975
Dhrs7,1.004826704
Dhx15,1.17676667
Dhx9,0.28049666
Diap1;Diaph1,0.91774002
Diap2;Diaph2,1.236266681
Dirc2,0.836439956
Dlat,0.777186668
Dld,0.729813354
Dlst,1.036556649
Dmxl1,1.357599963
Dnaja1,1.089456667
Dnaja2,0.946860006
Dnajb11,0.987306667
Dnajb6,1.198600007
Dnajc13,0.452009915
Dnajc3,1.135030003
Dnajc5,1.445233252
Dnajc8,1.271633341
Dnajc9,0.84439999
Dnase1l1,0.588570012
Dnase2;Dnase2a,1.045343332
Dnm2,1.408666633
Dnm3,0
Dock2,0.886783348
Dock8,0.854856657
Dok1,0.509800007
Dok2,1.454666633
Dok3,2.056667129
Dpep2,0
Dpm1,0.873376683
Dpp7,1.002493351
Dpysl2,0.936376643
Dram1,1.111513384
Dram2,0.732640301
Drg1,0.146536656
Dscr3,0.928016637
Dstyk,0.921633349
Dtx3l,0.463963334
Dusp22,0.454999992
Dusp3,0
Dync1h1,0.809163326
Dync1i2,0
Dync1li1,1.901032955
Dynll2,0.682759998
E030010N08Rik,0.159776651
Ear2;Ear3,1.180056668
Ece1,0.687290049
Echs1,1.06555999
Edil3,1.153333337
Eea1,0.44658329
Eef1a1,1.264799985
Eef1b,0.326526661
Eef1d,0.327869991
Eef1g,0.83115334
Eef2,0.902986645
Efhd2,1.083963318
Ehbp1l1,0
Ehd1,1.52368647
Ehd4,1.531030132
Eif1a;Eif1ax,0.607833333
Eif2s1,0.682199995
Eif2s3x;Eif2s3y,0.736609987
Eif3d,0.913110004
Eif3l,0
Eif4a1;Eif4a2,0.996106695
Eif4e,1.144063333
Eif4e2,0.417800001
Eif4enif1,0
Eif4g1,1.232969973
Eif4g2,1.160903318
Eif4h,2.219833655
Eif5a;Eif5a2,1.045600024
Eif6,1.116480002
Elavl1,0.918913339
Elmo1,0.949639983
Elmo2,0.873933349
Elovl1,0
Emb,0.793346675
Emd,1.458833303
Emp2,0.65179666
Emr1,0.738646665
Endod1,1.22456669
Eno1,0.937766695
Ensa,1.007533284
Entpd1,0.496763287
Eny2,1.181126694
Epb4.1;Epb41,0.737743345
Epb4.1l1;Epb41l1,0.382200004
Epb41l2,0.678713338
Ephx1,0.951409975
Eppk1,0.986866641
Eps15l1,1.38556668
Erap1,2.814019909
Erbb2ip,0.167053336
Ergic1,0.389566655
Erh,1.324663548
Erlin1,0.951943345
Erlin2,1.032683362
Erp29,0.900183329
Erp44,0.934846683
Esd,1.03992339
Esyt1,0.735846695
Esyt2,0.781743322
Etf1,2.124166964
Etfa,0.841213323
Etfb,0.95263333
Etfdh,0
Evi2a,0
Evi2b,0.633669931
Evl,1.448006688
Ewsr1,0.993986665
Ezr,0.960973322
F13a1,0
Faf2,0.78104335
Fam108b1,1.280599982
FAM120A,0
Fam125a,0.998440011
Fam129a,1.215400006
Fam129b,0.97357001
Fam168a,1.397800008
Fam177a1,0.138796635
Fam195b,0
Fam21,0.666966676
Fam26f,1.339823341
Fam3c,1.07303329
Fam45a,0.787583303
Fam49b,0.887323362
Fam50a,2.273799614
Fam54b,1.117433321
Far1,0.744873306
Farsa,0.378700019
Farsb,0.707170014
Fbln2,0
Fcer1g,0.915953356
Fcgr1,0.751649995
Fcgr2;Fcgr2b,0.152116705
Fcgr3,1.445100304
Fcgr3P08508,0.62156002
Fcgrt,0.550256637
Fcrls,0.644950004
Fdps,0.810666621
Fen1,2.018399875
Fermt3,0.993916695
Fes,1.366400037
Fh,1.004419991
Fis1,1.442033484
Fkbp15,0.815993327
Fkbp2,1.00199001
Fkbp8,0.998899996
Flcn,0.302816663
Flna,0.966833338
Flnc,0.243490007
Flot1,1.047199967
Flot2,1.05389332
Fmnl1,1.060913325
Fn1,0.385849945
Fnbp1,0.530000013
Folr2,0.63973334
Frmd8,0.669270007
FRRS1,0.558276652
Fth1,0.488243316
Ftl1;Ftl2,0.446019997
Fuca1,0.785390005
Fuca2,0.893593317
Fus;Taf15,0.209623331
Fxyd5,0
Fyb,1.821333301
Fyco1,0
Fyn,1.100533324
G3bp1,1.080103361
G3bp2,1.039236641
G6pdx,0.928356672
Gaa,0.963956679
Gabarap;Gabarapl1,0.489766703
Gabarapl2,0.909786688
Gak,1.74006649
Galc,1.391733297
Galns,0.447416659
Galnt2,0.789203317
Galnt7,0.861760031
Ganab,0.964153329
Gapdh;Gm7293;Gm6316,1.115833308
Gas7,0.802600244
Gba,1.230333322
Gbp5,0.909159985
Gclm,0
Gdap2,1.337366603
Gdi2,0.730733364
Ggh,0.795846672
Ggta1,0.468699981
Gla,0.904283339
Glb1,0.929293305
Glb1l,0
Glg1,0.871730001
Glipr1,0.732223357
Glipr2,0.895580001
Gls,0.308843334
Glt25d1,0
Gltp,1.390766466
Glud1,1.013833348
Gm10036;Rpl11;Gm10288;Gm5093;Gm7589,1.160733337
Gm10119;Rps3a;Gm9000,1.024289995
Gm10126;Rps29,0
Gm10320;Sec61b,1.191133303
Gm13646;Hist1h2bf;Hist1h2bb;Hist1h2bk;Hist1h2bp,1.450500118
Gm14548,0.636046673
Gm16477;Rpl7a;Gm5619;Rpl7a-ps10;Rpl7a-ps5;Rpl7a-ps3;Gm17415;Gm4978;Gm5459,0.546643325
Gm17352;Rps18;Gm5321,1.201386644
Gm20390;Nme2;Nme1,0.946776674
Gm20425;Srprb,0.593756678
Gm20431;Ube2v1;Gm8325;Ube2v2;Gm5830;Gm10088,0.598566648
Gm20489;Il2rg,0
Gm20498;Synj2bp,0.976106697
Gm2382;Mthfs,0.260956673
Gm2a,0.924423337
Gm5431;OTTMUSG00000005540;9930111J21Rik,0.703586637
Gm5576;Eif4a3,0
Gm6377,0
Gm8394;Psma5,0.692473332
Gm9755;Tufm,1.491000018
Gmip,1.071533351
Gmpr2,0.978649988
Gna13,0.802436655
Gnai2;Gnai1,1.302500005
Gnai3,1.039873365
Gnaq,0.782959982
Gnas,0.873023314
Gnb1,1.425166649
Gnb2,1.233133293
Gnb2l1,0.71389998
Gnb4,0.432466653
Gng12,1.173116697
Gng2,1.032666632
Gng5,1.144566618
Gns,0.86405333
Golga1,0.573666668
Golga4,1.017426707
Golga5,0
Golga7,1.141333359
Golgb1,0.515949973
Gosr1,0.273370012
Got2,0.952953336
Gp49a,0
Gpatch8,0.836569989
Gpd2,0.581393313
Gpi;Gm1840,1.271733352
Gpld1,0
Gpnmb,1.16292665
Gpr107,0.705406662
Gpr108,0.219906675
Gpr137b,0.590223363
Gpsm3,0.521700002
Gpx1,1.228399988
Gpx4,1.260899973
Grap2,0.626300007
Grb2,0.733000003
Grn,0.649596661
Grpel1,0
Gsdmdc1,0.832200028
Gsn,0.76483668
Gstk1,0.669636693
Gstm1,0.854026663
Gtf2f1,1.109086643
Gtf2f2,2.222300298
Gusb,0.285546663
Gvin1,1.234119991
H1f0,0.439233349
H2-Aa,0.398643336
H2-Ab1,0.815259995
H2-D1,0
H2-D1;H2-L,0.781233333
H2-DMa,0
H2-DMb1;H2-DMb2,0.654333345
H2-K1,0.775236645
H2-T23,0.457733345
H2afx,1.290179996
H2afy,0.684273333
H2afz;H2afv,1.07595002
Hadha,1.043756655
Hadhb,0.999823361
Hba;Hba-a1,0
Hbxip,1.512733365
Hck,1.277933323
Hcls1,2.12833347
Hdac1;Gm10093,0.684766665
Hdhd2;Ier3ip1,0.431643315
Heatr7a,1.241053323
Hexa,0.982043312
Hexb,0.989393355
Hfe,0.268376657
Hgs,0.841083333
Hgsnat,0.902223336
Hint2,0
Hist1h1a,0.647426662
Hist1h1b,0.828050039
Hist1h1c,0.738290021
Hist1h1d,0.82842333
Hist1h1e,0.817743325
Hist1h2af;Hist1h2ab;Hist3h2a;Hist1h2ah,1.065103303
Hist1h3b;Hist1h3a,0.955663356
Hist1h4a,1.041399971
Hist2h2aa1;Hist1h2al;Hist2h2ac,1.967016524
Hist3h2bb;Hist3h2ba,0.453366689
Hk1,1.012079983
Hk2,0.571686664
Hm13;H13,0.700293323
Hmga1,0.161136642
Hmga2,0
Hmgb1,1.366766659
Hmgb2,1.060553322
Hmgcl,0.980633304
Hmgn2,0.677633337
Hmha1,1.14250001
Hmox1,1.14663329
Hmox2,0.947283314
Hn1l,2.775999567
Hnrnpa0,0.809086616
Hnrnpa1,1.194079984
Hnrnpa2b1,1.01313664
Hnrnpa3;Gm6793;Gm8991,0.862853338
Hnrnpab,1.134303314
Hnrnpc,0.522433313
Hnrnpd,1.081339998
Hnrnpf,0.401399994
Hnrnph1,1.412166649
Hnrnpk;Gm7964,1.288100016
Hnrnpl,0.880743348
Hnrnpm,1.285633332
Hnrnpu,0.851659982
Hp1bp3,1.1097833
Hpcal1;Hpca,0.8582167
Hps1,0.830043317
Hps3,0
Hps4,0.946123361
Hpse,1.233113329
Hras1,0.975366643
Hs2st1,0.407633352
Hsd17b10,0.669539995
Hsd17b11,0.853300021
Hsd17b12,0.903323323
Hsd17b4,0.948653337
Hsdl1,0.232643325
Hsp90aa1,1.082616677
Hsp90ab1,0.925139971
Hsp90b1,0.90454335
Hspa4,0.941406633
Hspa5,1.013720017
Hspa8,1.096330015
Hspa9,1.087996644
Hspd1,1.200499993
Hspe1,1.088263367
Hspg2,0.718100004
Htatip2,1.233599963
Hvcn1,0.589293318
Hyal1,0.31952999
Hyou1,0.902803348
Icam1,0.67687668
Idh1,0.367166668
Idh2,1.017590017
Idh3a,1.069923326
Idh3b,0.718366665
Idh3g,0.366666661
Ids,0.898026626
Idua,1.070226692
Ifi204,0.988959999
Ifi205b,1.106006667
Ifi30,0.884063334
Ifit1,0.784100025
Ifitm2,0.434910042
Ifitm3,0.685273353
Ifngr1,0.794566844
Igbp1,0.590966641
Igf2r,0.627676709
Igsf6,0.517869979
Igtp,1.005003333
Il16,1.897699899
Ilk,0.623013319
Ilvbl,1.131159973
Inf2,0.945593294
Inpp5d,1.415116627
Iqgap1,0.963653298
Iqgap2,0
Irf2bp2,1.480866668
Irgm1,1.209666689
Irgm2,1.042006649
Isg15,1.016479991
Isg20,1.394266681
Ist1,1.159700004
Itch,1.220899993
Itga4,0.519696675
Itga5,0.58474997
Itga6,0.616539959
Itgam,0.530636618
Itgav,0.653156674
Itgax,0.621266686
Itgb1,0.531190023
Itgb2,0.504359953
Itgb5,0.633436688
Itm2b,1.10838997
Itsn2,1.160133315
Jak1,0.868780009
Jup,0.49868667
Kat2a,0.199000009
Kcnab2,0
Kcnk6,0.630366687
Kcnn4,0.736899963
Kctd12,1.17682669
Kdelr1,0.687076644
Kdm1a,0
Kdm3b,0.929849798
Khdrbs1,0.865483326
Khsrp,0.827366657
Kiaa0196,0.623030006
Kiaa0226;1700021K19Rik,1.450533361
Kiaa0907,1.794066618
Kiaa1033,0.614809996
Kiaa1598,0.324123343
Kiaa1671,1.14679999
Kif13b,1.381523175
Kif16b,0.680206678
Kif1a,1.12882348
Kif5b,0.943066684
Kpnb1,0.944500042
Kras,1.180399961
Krt28;Krt24,5.494000854
Krt76,9.852665321
Lamp1,1.02859328
Lamtor1,1.682866469
Lamtor2,1.445833307
Lamtor3,1.411566676
Lancl1,0
Laptm5,0.659756622
Lasp1,1.865933328
Lat2,0
Lbr,0.849880003
Lcp1,0.982756673
Lcp2,1.485633372
Ldha,0.986033338
Ldlr,0
Lgals1,1.234543309
Lgals3,2.413032908
Lgals3bp,0.76838335
Lgals3bpF6VRP8,0.853609994
Lgals8,1.587966641
Lgals9,1.399366671
Lgmn,0.897126675
Lig1,1.431166674
Lilrb3,0.554209996
Lilrb4,0.509523262
Lima1,1.594130102
Limd2,2.155399927
Lims1,0
Lin7c;Lin7a,0.557233346
Lipa,1.030940003
Lman1,0.931219995
Lman2,0.859699989
Lmbrd1,1.182600011
Lmbrd2,0.904536653
Lmna,1.23863332
Lmnb1,1.292166611
Lmnb2,1.378533316
Lnpep,0.579696731
Loh12cr1,1.031200043
Lpcat2,0
Lpl,0.665266687
Lrp1,0.508439946
Lrp1b,0.36708663
Lrpap1,1.043793322
Lrpprc,0.42413334
Lrrc25,0.646356679
