Gene names,2015 Dill Phosphatidylserine Early
Septin-2,0.928306663
Septin-7,0.942380018
Septin-8,0.722619986
Septin-9,0.978463324
Septin-11,0.926146639
15 kDa selenoprotein,0
0610031J06Rik,0.888466656
1700112E06Rik,0.84596001
2310022A10Rik,0.169310001
2410018M08Rik;Chchd2,0
2810422J05Rik;Uba52;Ubc;Ubb,0.931853341
4632428N05Rik,1.6458333
4732456N10Rik,0
5031439G07Rik,0.750356651
9030624J02Rik,0.819413346
Aak1,0.449433322
Abca3,0.67788
Abcb11,0.506063327
Abcb1b,1.240599988
Abcb6,0.643690019
Abcc1,1.29693332
Abcc3,0.400033326
Abcd1,0.532436643
Abcd3,0.415226636
Abcd4,0.518033342
Abcf2,0
Abhd12,0.576519998
Abi1,0.835133338
Abr,0.700780034
Acaa1a;Acaa1b,0.71473668
Acaa2,0.588216703
Acadl,0.621903325
Acadm,0.471133337
Acads,0.514983324
Acadvl,0
Acap2,1.22889995
Acat1,0.735413328
Acbd3,0
Aco2,0.64582331
Acot13,0.292633329
Acox3,0.828213303
Acp2,0.713363327
Acp5,0.706749998
Acsl1,0
Acsl4,1.173699998
Acsl5,0.305423336
Actc1;Acta1;Acta2;Actg2,1.710966609
Actn1,0.414923379
Actn4,0.881943326
Actr1a;Actr1b,0.463933361
Actr2,1.32093333
Actr3,1.424066649
Adam10,1.467733334
Adam17,0.966579993
Adam8,1.52226668
Adam9,1.234699994
Adcy7,0.930799989
Aga,0.769986728
Agfg1,0.964376651
Agfg2,1.394766703
Agps,0.722983323
Agtrap,0.84148665
Ahnak,1.639733274
Ahnak2,1.354833338
Ahnak2F7CVJ5,1.259999996
Ahnak2E9PYB0,1.386433302
Ahsa1,1.273066717
AI607873,1.135066706
Aif1,0
Aifm1,0.302736661
Aifm2,1.280600001
Akap10,0.786500013
Akr1a1,0.657523307
Akr1b1;Akr1b3,0
Alcam,1.6869
Aldh2,0.577080052
Aldh3a2,0.615243327
Aldh3b1,1.438933333
Aldh9a1,0.265850005
Aldoa;Aldoart1,1.259799994
Alg2,0
Alg5,0
Alox5,0.868113343
Alox5ap,0.776260024
Alyref;Alyref2;Refbp2,0
Ankfy1,1.132623315
Ankh,1.314266691
Anln,0
Ano6,0
Anp32b,0.248966666
Anpep,1.519066695
Antxr2,0.988633352
Anxa1,1.305433326
Anxa11,2.723733634
Anxa2,0.864520006
Anxa3,2.211066618
Anxa4,1.827466623
Anxa5,1.825600126
Anxa6,1.442970013
Anxa6P14824,1.226953352
Anxa7,1.662099992
Aoah,0.568930033
Ap1b1,1.05957664
Ap1g1,0.615800009
Ap1g2,0.295553334
Ap1m1,0.851013345
Ap1s1,0.970066674
Ap1s2,0.906446663
Ap2a1,1.148566659
Ap2a2,1.15789999
Ap2b1,1.195409992
Ap2m1,0.891956682
Ap2s1,1.268013343
Ap3b1,0.66844669
Ap3d1,0.457963332
Ap3m1,0.703536663
Ap3s1,0.688726662
Ap3s2,0.389186658
Aph1a,0.582303353
Apmap,0.598069993
Apoa1bp,0.486916673
Apob,0.919266697
Apobr,0.981586678
Apoe,0.604429982
App,1.343066721
Apr3;0610007C21Rik,0.609836686
Araf,1.433333318
Arap1,0.783883326
Arf3;Arf1,1.608766566
Arf5,0.788190015
Arf6,1.143523375
Arfgap1,0
Arfgap2,1.124033346
Arfgap3,0.489733331
Arfip1,1.548233325
Arfrp1,0.305206671
Arhgap1,0
Arhgap17,0.971316667
Arhgap22,0
Arhgap25,0.664706676
Arhgap30,1.369300038
Arhgap4,0
Arhgap9,0
Arhgdia,0.915163314
Arhgdib,0.892770015
Arhgef1,0.745003342
Arhgef10l,0.248726667
Arhgef2,0.964709996
Arhgef7,0.552719983
Arl1,0.90299999
Arl4c,0.57417333
Arl6ip5,0.587866663
Arl8a,0.570580003
Arl8b,0.744726682
Armc10,0
Arpc1b,1.376899997
Arpc2,1.312166693
Arpc3,1.571533504
Arpc4,1.50536668
Arpc5,1.313366642
Arpp19,0.770456643
Arrb2,1.066446665
Arsa,0.770793318
Arsb,0.869633328
Arsk,0.750173339
Asah1,0.76192666
Asah2,0.973306663
Asph,0.793373339
Ass1,1.495533314
Atad1,0
Atl3,0.9854067
Atp11a,0.833460006
Atp11c,1.418733298
Atp13a2,0.720456657
Atp1a1,1.708033293
Atp1a3,1.262766665
Atp1b3,1.507566638
Atp2a2,0.809026693
Atp2a3,0
Atp2b1,1.445433318
Atp2b3,0.833900023
Atp5a1,0.742373344
Atp5b,0.693593351
Atp5c1,0.75412002
Atp5d,0.801943327
Atp5f1,0.685883375
Atp5h;Gm10250,0.646556658
Atp5i;Atp5k,0.813033319
Atp5j,0.956976642
Atp5j2,0.245913322
Atp5l;Atp5l-ps1,0.556423361
Atp5o,0.788779985
Atp6ap1,0.631090008
Atp6ap2,0.661923332
Atp6v0a1,0.95886003
Atp6v0c,0.685023341
Atp6v0d1,0.693459984
Atp6v0d2,1.314799988
Atp6v1a,0.895366649
Atp6v1b2,0.954543354
Atp6v1c1,0.793096657
Atp6v1d,0.87305665
Atp6v1e1,1.107706699
Atp6v1f,0.77312999
Atp6v1g1,1.345626668
Atp6v1h,0.884629994
Atp8a1,0.72554665
Atp9b,0.414233317
Atpif1,0.705943342
Atrn,1.427266623
Atxn2l,0.388233334
Aup1,0.417933352
B2m,1.994233562
B4galnt1,1.191433314
B4galt1,1.045150007
Bag3,0.38543332
Bak1,0.246403337
Banf1,0.665870002
Basp1,0.766536699
Bax,0.721690007
BC017647,1.597466635
Bcap31,0.904263321
Bcat2,1.109999864
Bcl7b,0.259879997
Bclaf1,0.486549997
Becn1,1.5088
Bin1,0
Bin2,1.025386672
Birc6,0.669166684
Blmh,0.705626667
Blnk,0.614903384
Bloc1s1,0.308829998
Blvrb,1.136123322
Bmp2k,0.325499991
Bola1,0
Bphl,0.285953347
Bri3,0.660770006
Bst1,1.350219996
Bst2,1.913033337
Btd,0.72657667
Btf3,1.406306659
C1qa,0
C1qb,1.289140006
C1qbp,0.53122331
C1qc,1.560533465
C3,0.141110036
C3ar1,0.495966678
C5ar1,1.962899884
Cab39,0
Cacybp,0.320973336
Cadm1,1.289356691
Calm1;Calml3,0.814283353
Calr,0.586346678
Calu,0.654256648
Camk2d,1.01241334
Canx,0.45251001
Cap1,1.296466705
Capg,1.295899999
Capn1,1.030846685
Capn2,1.046013329
Capn5,0.928199989
Capns1,1.179566648
Caprin1,1.071336678
Capza1,0.999426651
Capza2,1.139630012
Capzb,1.056179981
Cast,1.15194003
Cat,0.617386622
Cbl,0.984173338
Cbr2,0.243336661
Cbx3,0
Cc2d1b,0.987253336
Ccdc115,1.37320005
Ccdc12,0.30716333
Ccdc22,1.223733299
Ccdc50,0.531346682
Ccdc53,0.233733333
Ccdc75,0.215473327
Ccdc88b,0
Ccdc93,1.241166714
Cct2,1.529566688
Cct3,0.70702001
Cct4,0.974813327
Cct5,0.695599837
Cct6a,0.810033354
Cct7,0.847736694
Cct8,0.589363318
Ccz1,0.829593336
Cd14,3.025999412
Cd151,1.520699985
Cd180,0.725176678
Cd1d1;Cd1d2,0.919230001
Cd200r1,1.566899986
Cd2ap,0
Cd300a,1.685933534
Cd300lh;OTTMUSG00000003606,1.551999961
Cd36,1.394899995
Cd44,1.933233251
Cd47,1.5134
Cd48,1.638033367
Cd5l,1.633766527
Cd63,0.503443324
Cd68,0.678400018
Cd72,1.753766567
Cd74,0.900003355
Cd81,1.17389337
Cd82,1.187633301
Cd84,2.138099879
Cd9,1.790733438
Cd93,1.898733346
Cdc42,1.294133362
Cdc42bpb,0
Cdc42ep4,0.756473341
Cdca3,1.430233309
Cdipt,0.46432
Cdk1,1.216736671
Cdk14,0
Cdk18,0.912913295
Cdk2;Cdk3,0.758266688
Cdk5,0.555019993
Cdkn1b,0
Cds2,0.368933321
Cenpe,0.41106664
Cep41;Tsga14,0.265626668
Cep55,0.830893334
Cers2;Lass2,0
Cfl1,1.323266643
Cfp,1.056073272
Chchd3,0.372523329
Chd4,0
Chd6,0.336466671
Chi3l3,0.655480013
Chi3l4,0.853706682
Chmp1a,0.299543348
Chmp2a,0.691449931
Chmp2b,0.876056637
Chmp4b,0.57526004
Chmp5,0.443803282
Chmp6,0.923733353
Cisd1,0
Cisd2,0.771226678
Ckap4,0.349066656
Ckap5,1.268696674
Ckb,0.862189989
Clcn5,1.769666697
Clcn6,0
Clcn7,0.686603331
Clec10a;Mgl1;Mgl2,1.272000024
Clec12a,2.186766979
Clec4e,0
Clic1,0.696783347
Clint1,0.944279989
Cln3,0.72695668
Cln5,0.652580035
Clptm1,0.487046665
Clrn2,0.116669996
Clta,0.984920022
Cltc,0.801676701
Cmtm6,1.027433332
Cndp2,1.207563317
Cnn2,0.953360025
Cnot4,0
Cnp,1.055273343
Cnpy2,0.339266658
Cnpy3,0
Cnpy4,0.987430187
Col4a4,0
Col6a3,0
Colec12,2.497933153
Commd1,1.307533334
Commd10,1.29550002
Commd2,1.358999958
Commd3,1.082036692
Commd4,1.312233357
Commd5,1.124999999
Commd6,1.34241001
Commd7,1.549533372
Commd8,0.704290003
Commd9,1.52317665
Comt,0.985473309
Copb2,0.747633336
Coro1a,1.685666696
Coro1c,1.006230011
Coro2a,0.321263334
Cotl1,0.962739993
Cox4i1,0.687186673
Cox4nb,0.25953667
Cox5a,0.592840032
Cox5b,0.754040003
Cox6a1,0.607403344
Cox6b1,0.640939998
Cox6c,0.758366669
Cox7a2,0.59397997
Cox7c,0.227513333
Cpd,1.671900062
Cpne1,0.717880023
Cpne2,1.102166683
Cpne3,1.539133352
Cpq,0.871193337
Cpt1a,0.233653329
Cr1l,1.642066627
Creg1,0.922716658
Crip1,1.285100021
Cs,0.631736659
Csf1,1.312566732
Csf1r,1.641066705
Csf2ra,0
Csk,0.419466645
Csnk1a1,0.541869994
Csnk1g3,0.502066649
Csnk2b,0.584166689
Csrp1,1.072019986
Cst3,1.203633332
Cst7,0
Cstb,1.378500013
Ctbs,0.83135334
Ctdsp1,0.81175665
Ctnnd1,1.480833302
Ctsa,0.845739989
Ctsb,0.856756685
Ctsc,0.758179972
Ctsd,0.791466686
Ctsf,0.693340006
Ctsh,0.757086658
Ctsl1,1.254866668
Ctso,0
Ctss,0.854540005
Ctsz,0.777913309
Cttnbp2nl,1.014683358
Cuedc2,0.538109994
Cux1,0.633766672
Cwc15,0.643063339
Cxcl2,0
Cyb5a;Cyb5,0.774063313
Cyb5b,1.056786653
Cyb5r3,0.747419998
Cyba,1.021213353
Cybb,0.751706686
Cyc1,0
Cyfip1,0.875279987
Cyp20a1,0.929526646
D10Jhu81e,0
D10Wsu52e,0.624519992
D17Wsu104e,0.955649999
Dab2,1.512999991
Dad1,0.866566679
Daglb,1.011089979
Dars,0
Dbi,0.277826669
Dbr1,0.270423325
Ddb1,0.650206646
Ddost,1.008476672
Ddrgk1,0
Ddx1,0.613123315
Ddx39b;Ddx39a,1.11796668
Ddx3x;D1Pas1,0.775450016
Ddx3y,0.476593371
Ddx42,0.538836682
Ddx46,0
Ddx5,0.703930013
Decr1,0
Degs1,0.58629334
Dek,0
Dennd1a,0.753440002
Dhrs1,0.846536669
Dhrs4,0
Dhrs7,0.891419994
Dhx15,0
Dhx9,0
Diap1;Diaph1,0.721463346
Diap2;Diaph2,0.586599994
Dirc2,0.625316692
Dlat,0.603746643
Dld,0.682470012
Dlst,0.584866613
Dmxl1,0.905896664
Dnaja1,1.803266708
Dnaja2,1.199669988
Dnajb11,1.16204333
Dnajb6,1.344166629
Dnajc13,0.921970022
Dnajc3,0.752816671
Dnajc5,1.031366669
Dnajc8,0.722626679
Dnajc9,0.816999985
Dnase1l1,1.893733274
Dnase2;Dnase2a,0.786506661
Dnm2,0.909283335
Dnm3,0
Dock2,0.770416667
Dock8,0.58500672
Dok1,0.380566664
Dok2,0.923533337
Dok3,0
Dpep2,0
Dpm1,0.530710019
Dpp7,0.919046677
Dpysl2,1.002803325
Dram1,0.934046672
Dram2,0.43790669
Drg1,0.386066666
Dscr3,1.230033333
Dstyk,0
Dtx3l,1.155639977
Dusp22,0.35000676
Dusp3,0.831633339
Dync1h1,0.954073311
Dync1i2,0.262023334
Dync1li1,0.566816669
Dynll2,0.388303305
E030010N08Rik,0
Ear2;Ear3,1.050096666
Ece1,1.552799988
Echs1,0.767146675
Edil3,1.349166664
Eea1,1.832633447
Eef1a1,1.189200008
Eef1b,0.297433345
Eef1d,0.272969998
Eef1g,1.31929997
Eef2,1.214433304
Efhd2,1.625399756
Ehbp1l1,0
Ehd1,1.385766657
Ehd4,1.25330001
Eif1a;Eif1ax,0
Eif2s1,1.103433318
Eif2s3x;Eif2s3y,0
Eif3d,0.430526679
Eif3l,0
Eif4a1;Eif4a2,1.144500006
Eif4e,0.893333374
Eif4e2,0.492200001
Eif4enif1,0.555780018
Eif4g1,0
Eif4g2,0.715139977
Eif4h,0.654776719
Eif5a;Eif5a2,1.060106624
Eif6,1.051380031
Elavl1,0.642050018
Elmo1,0.946359982
Elmo2,0.64653998
Elovl1,0
Emb,1.423766669
Emd,1.30526669
Emp2,1.811433303
Emr1,1.628866635
Endod1,0
Eno1,0.934310006
Ensa,0.201463348
Entpd1,1.66069994
Eny2,1.19763334
Epb4.1;Epb41,1.271300036
Epb4.1l1;Epb41l1,0.724933352
Epb41l2,1.224733315
Ephx1,0.889829984
Eppk1,1.101833344
Eps15l1,1.540200014
Erap1,0.217369993
Erbb2ip,0.984366658
Ergic1,0.581513335
Erh,0
Erlin1,1.011446638
Erlin2,0.956383338
Erp29,0.831046678
Erp44,0.82227998
Esd,1.459900036
Esyt1,0.810263326
Esyt2,0
Etf1,0.752133346
Etfa,0.562736708
Etfb,0.655300003
Etfdh,0
Evi2a,0.900299962
Evi2b,1.47346669
Evl,1.084426669
Ewsr1,0.373366683
Ezr,0.833586679
F13a1,0
Faf2,0
Fam108b1,0.886693343
FAM120A,0
Fam125a,0.991770015
Fam129a,0.241906661
Fam129b,1.090120039
Fam168a,1.052966644
Fam177a1,0
Fam195b,0
Fam21,1.030669995
Fam26f,1.166936665
Fam3c,0.906900006
Fam45a,1.141433351
Fam49b,1.60603329
Fam50a,1.368866804
Fam54b,1.420399982
Far1,0.765803342
Farsa,0
Farsb,0.621833322
Fbln2,0
Fcer1g,1.276899977
Fcgr1,1.824000014
Fcgr2;Fcgr2b,0.646573326
Fcgr3,0.786866885
Fcgr3P08508,1.713033356
Fcgrt,0.997733313
Fcrls,1.295133357
Fdps,0
Fen1,0.96733003
Fermt3,1.465966683
Fes,1.229066695
Fh,0.475750006
Fis1,0.579069991
Fkbp15,1.342583359
Fkbp2,0.892843313
Fkbp8,0.675329998
Flcn,1.230549978
Flna,1.044026652
Flnc,0.159263374
Flot1,0.831409978
Flot2,0.775419999
Fmnl1,1.180046632
Fn1,1.267433302
Fnbp1,0.495066694
Folr2,1.74219993
Frmd8,1.064016671
FRRS1,0.934693306
Fth1,0.853086647
Ftl1;Ftl2,0.92909668
Fuca1,0.722503314
Fuca2,0.984386633
Fus;Taf15,0
Fxyd5,0
Fyb,0.759776662
Fyco1,0
Fyn,1.381599985
G3bp1,1.041306664
G3bp2,0.194293346
G6pdx,1.116300047
Gaa,0.975553324
Gabarap;Gabarapl1,0
Gabarapl2,0.498366673
Gak,0.749463312
Galc,0.701266659
Galns,0.824250002
Galnt2,0.873686671
Galnt7,0.941456691
Ganab,0.99254999
Gapdh;Gm7293;Gm6316,1.335533283
Gas7,0.56216666
Gba,0.900833323
Gbp5,0.687546666
Gclm,0
Gdap2,0.543206642
Gdi2,1.414333336
Ggh,0.743686666
Ggta1,0.334100008
Gla,0.801393329
Glb1,0.681356681
Glb1l,0
Glg1,0.759389996
Glipr1,1.059066673
Glipr2,1.459266647
Gls,0
Glt25d1,1.154766764
Gltp,1.045853332
Glud1,0.565576669
Gm10036;Rpl11;Gm10288;Gm5093;Gm7589,1.057113348
Gm10119;Rps3a;Gm9000,0.80480666
Gm10126;Rps29,0
Gm10320;Sec61b,0.866803356
Gm13646;Hist1h2bf;Hist1h2bb;Hist1h2bk;Hist1h2bp,1.09128664
Gm14548,2.124900097
Gm16477;Rpl7a;Gm5619;Rpl7a-ps10;Rpl7a-ps5;Rpl7a-ps3;Gm17415;Gm4978;Gm5459,0.649436666
Gm17352;Rps18;Gm5321,0.876706678
Gm20390;Nme2;Nme1,1.062440041
Gm20425;Srprb,0.562070017
Gm20431;Ube2v1;Gm8325;Ube2v2;Gm5830;Gm10088,0.579173325
Gm20489;Il2rg,0.390166684
Gm20498;Synj2bp,0.41225666
Gm2382;Mthfs,0.40629998
Gm2a,1.30536667
Gm5431;OTTMUSG00000005540;9930111J21Rik,0.928000029
Gm5576;Eif4a3,0
Gm6377,0
Gm8394;Psma5,0.993850016
Gm9755;Tufm,0.717673318
Gmip,0.635026676
Gmpr2,0.789950004
Gna13,1.377433315
Gnai2;Gnai1,1.081066649
Gnai3,1.021256663
Gnaq,1.667299991
Gnas,1.483200025
Gnb1,0.948266661
Gnb2,1.218433368
Gnb2l1,1.244566704
Gnb4,0
Gng12,1.390766656
Gng2,0.95625666
Gng5,1.432733295
Gns,0.797706661
Golga1,0.60035334
Golga4,0.828106697
Golga5,0.413600002
Golga7,1.380266725
Golgb1,0.851993558
Gosr1,0.732813352
Got2,0.628909989
Gp49a,1.791633139
Gpatch8,0.304353339
Gpd2,0.643253346
Gpi;Gm1840,1.294733317
Gpld1,0
Gpnmb,0.857426692
Gpr107,0.866046666
Gpr108,0.292740001
Gpr137b,0.739490021
Gpsm3,0.509499982
Gpx1,0.891533315
Gpx4,0.782183355
Grap2,0
Grb2,1.710333339
Grn,0.536146651
Grpel1,0.472200017
Gsdmdc1,0
Gsn,1.648199818
Gstk1,0
Gstm1,1.225509996
Gtf2f1,0.197203341
Gtf2f2,0
Gusb,0.528929965
Gvin1,0.757280008
H1f0,0.486640001
H2-Aa,0.574190001
H2-Ab1,0.643196653
H2-D1,0.602866638
H2-D1;H2-L,1.675233302
H2-DMa,1.099863345
H2-DMb1;H2-DMb2,0.994949974
H2-K1,1.607700046
H2-T23,0
H2afx,1.014566653
H2afy,0.579429941
H2afz;H2afv,0.988026687
Hadha,0.676430007
Hadhb,0.635046632
Hba;Hba-a1,0.979166767
Hbxip,1.010703288
Hck,1.16083334
Hcls1,0.888943337
Hdac1;Gm10093,0.450450018
Hdhd2;Ier3ip1,0
Heatr7a,0.693403315
Hexa,0.811130025
Hexb,0.875506639
Hfe,1.493633371
Hgs,1.36486671
Hgsnat,0.705426654
Hint2,0
Hist1h1a,0.727723264
Hist1h1b,0.626106671
Hist1h1c,0.667120021
Hist1h1d,0.676466687
Hist1h1e,0.701669996
Hist1h2af;Hist1h2ab;Hist3h2a;Hist1h2ah,0.901373341
Hist1h3b;Hist1h3a,0.885233314
Hist1h4a,0.966583325
Hist2h2aa1;Hist1h2al;Hist2h2ac,1.007656673
Hist3h2bb;Hist3h2ba,0
Hk1,0.783536691
Hk2,0
Hm13;H13,0.910496685
Hmga1,0
Hmga2,0
Hmgb1,0.728846648
Hmgb2,0.6961933
Hmgcl,0.492046673
Hmgn2,0
Hmha1,0.526550003
Hmox1,1.026796648
Hmox2,0.76095667
Hn1l,0.489776682
Hnrnpa0,0.92632332
Hnrnpa1,1.065443311
Hnrnpa2b1,1.203940003
Hnrnpa3;Gm6793;Gm8991,0.920916688
Hnrnpab,0.744360005
Hnrnpc,0.969996686
Hnrnpd,0
Hnrnpf,1.474236666
Hnrnph1,1.517389989
Hnrnpk;Gm7964,1.278286743
Hnrnpl,1.12351
Hnrnpm,0.939346701
Hnrnpu,0.541496706
Hp1bp3,0.525226688
Hpcal1;Hpca,2.473332943
Hps1,0.332593342
Hps3,0
Hps4,0.681556684
Hpse,0.699626692
Hras1,1.29876665
Hs2st1,0.518050009
Hsd17b10,0.757133324
Hsd17b11,0.757216685
Hsd17b12,0.615566678
Hsd17b4,0.800263336
Hsdl1,0.26763999
Hsp90aa1,0.737333339
Hsp90ab1,0.804640023
Hsp90b1,0.647256636
Hspa4,0.821673344
Hspa5,0.940883312
Hspa8,1.147766647
Hspa9,0.655053326
Hspd1,0.781120005
Hspe1,0.710153323
Hspg2,0.384226656
Htatip2,0.544913336
Hvcn1,1.209853327
Hyal1,0.319730004
Hyou1,0.914500007
Icam1,1.634199915
Idh1,1.233699942
Idh2,0.706203344
Idh3a,0.852056653
Idh3b,0.558233319
Idh3g,0
Ids,0.521199968
Idua,0.690093324
Ifi204,1.066306673
Ifi205b,0.581849985
Ifi30,0.798599995
Ifit1,0
Ifitm2,1.551733368
Ifitm3,2.181966784
Ifngr1,0.88316669
Igbp1,0
Igf2r,1.42936666
Igsf6,1.954133052
Igtp,0.752996644
Il16,0.77098335
Ilk,0.315199991
Ilvbl,0
Inf2,0.964310015
Inpp5d,1.226433316
Iqgap1,0.914596661
Iqgap2,0
Irf2bp2,0.988023311
Irgm1,0.710216658
Irgm2,1.075033343
Isg15,0.664236727
Isg20,0
Ist1,1.148193298
Itch,0.353046665
Itga4,1.804766498
Itga5,1.769166783
Itga6,1.863533221
Itgam,2.274433276
Itgav,1.914166596
Itgax,2.555267104
Itgb1,1.502733354
Itgb2,1.72016659
Itgb5,1.542666634
Itm2b,1.208926706
Itsn2,1.341266708
Jak1,1.125130035
Jup,0.514420026
Kat2a,0
Kcnab2,0.761226634
Kcnk6,0.684336661
Kcnn4,0
Kctd12,0.85752999
Kdelr1,0.196173327
Kdm1a,0
Kdm3b,0
Khdrbs1,0.499469991
Khsrp,1.089933325
Kiaa0196,0.934403346
Kiaa0226;1700021K19Rik,1.094159989
Kiaa0907,0
Kiaa1033,0.783439983
Kiaa1598,0
Kiaa1671,0
Kif13b,0.183426654
Kif16b,1.601766649
Kif1a,0.832033323
Kif5b,1.009400008
Kpnb1,1.178590001
Kras,1.198533284
Krt28;Krt24,5.651499902
Krt76,5.103198531
Lamp1,0.871530012
Lamtor1,1.123699978
Lamtor2,0.740236695
Lamtor3,0.761366661
Lancl1,0
Laptm5,0.629619979
Lasp1,1.325666654
Lat2,0.841500188
Lbr,0.74779664
Lcp1,1.063333301
Lcp2,0.73138665
Ldha,0.97259001
Ldlr,0.461300001
Lgals1,1.10862665
Lgals3,0.869316669
Lgals3bp,0.874909988
Lgals3bpF6VRP8,0.643826657
Lgals8,0.859893359
Lgals9,0.70480665
Lgmn,0.733773321
Lig1,0.503570022
Lilrb3,2.179466868
Lilrb4,1.908033468
Lima1,0.738663301
Limd2,0.787803362
Lims1,0.597936676
Lin7c;Lin7a,0
Lipa,0.681960013
Lman1,0.910010002
Lman2,0.88465669
Lmbrd1,0.853423336
Lmbrd2,0.744406647
Lmna,1.093229969
Lmnb1,0.670343326
Lmnb2,0.810543342
Lnpep,1.429000001
Loh12cr1,0.55776334
Lpcat2,0.294109991
Lpl,1.370666655
Lrp1,1.463966648
Lrp1b,1.422366708
Lrpap1,0.960643327
